Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
cjimenez,CAIDO,yacunia,INC000087347191,Manabi - O&M Total
alucin,caído,rtaco,INC000087347189,Manabi - O&M Total
inoguera,ALARMADAS,inoguera,INC000087342636,Redes Inalámbricas - Troncalizado Andina
cjimenez,CAIDO,cjimenez,INC000087342634,Redes Inalámbricas - Móvil Pacífico
alucin,caído,mgranda,INC000087341116,Los Rios - O&M Total
inoguera,The AC power is off,inoguera,INC000087338840,Los Rios - O&M Total
cjimenez,FALLA DE AC,cjimenez,INC000087338836,Los Rios - O&M Total
cjimenez,AC POWER FAILURE ALARM,yibarra,INC000087338833,Cotopaxi - O&M Total
jdgranda,ALARMA AC,jdgranda,INC000087338828,Cotopaxi - O&M Total
inoguera,VOLTAJE CARGA,yibarra,INC000087338827,Cotopaxi - O&M Total
alucin,caído,mgranda,INC000087338825,Cotopaxi - O&M Total
cjimenez,AC POWER FAILURE ALARM,amleons,INC000087337908,Cotopaxi - O&M Total
alucin,caído,alucin,INC000087337304,Columbus Network
alucin,CAÍDO,alucin,INC000087335786,Plataformas de Acceso - Región Andina
cjimenez,CAIDO,yacunia,INC000087334268,Redes Inalámbricas - Móvil Pacífico
alucin,caído,mgranda,INC000087333505,Energía y Climatización - Región Pacífico
jdgranda,CAIDO,jdgranda,INC000087333504,Redes Inalámbricas - Móvil Andina
cjimenez,FALLA DE AC,yacunia,INC000087333500,Redes Inalámbricas - Móvil Pacífico
cjimenez,AC POWER FAILURE ALARM,cjimenez,INC000087333497,Redes Inalámbricas - Región Austro
inoguera,CAIDO,lasifuela,INC000087333496,Energía y Climatización - Región Pacífico
jdgranda,CAIDO,gayungan,INC000087332735,Redes Inalámbricas - Móvil Andina
inoguera,VOLTAJE F1F2 y MÓDULOS RTF,fomorocho,INC000087332734,Energía y Climatización - Región Pacífico
alucin,caído,mgranda,INC000087332731,Redes Inalámbricas - MW Andina
inoguera,ALARMADAS,svnaranjo,INC000087332729,Redes Inalámbricas - Troncalizado Andina
alucin,caído,mgranda,INC000087332727,Redes Fibra Óptica - Red Troncal Andina
atrujillo,CAIDO,mcnaranjo,INC000087331207,Redes Inalámbricas - Móvil Pacífico
lveintimilla,CAIDO,gguayanlema,INC000087330447,Energía y Climatización - Región Pacífico
lveintimilla,caído,gguayanlema,INC000087328929,Galápagos - O&M Total
palvear,SIN RADIAR SECTOR 1,cjimenez,INC000087328926,Redes Inalámbricas - Móvil Pacífico
afaguirre,falla de ac,jdgranda,INC000087328161,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,lasifuela,INC000087328158,Unidad de Soporte de Servicios Masivos
egcadena,CAIDO,lasifuela,INC000087328156,Energía y Climatización - Región Pacífico
saushay,CAIDO,fomorocho,INC000087327273,Energía y Climatización - Región Pacífico
palvear,FALLA AC,palvear,INC000087325874,Manabi - O&M Total
palvear,CAÍDO,yacunia,INC000087325113,Redes Inalámbricas - Móvil Pacífico
saushay,ALARMA DE ENERGIA,fomorocho,INC000087324353,Energía y Climatización - Región Pacífico
saushay,ALARMA DE ENERGIA,saushay,INC000087323589,Energía y Climatización - Región Pacífico
egcadena,PUERTO ALARMADO SLOT 2 PORT 10,alcarvajal,INC000087319033,Accesos - Zona Integral 7
afaguirre,caido,afaguirre,INC000087319030,Redes Inalámbricas - Móvil Andina
lveintimilla,CAIDO,amleons,INC000087319029,Galápagos - O&M Total
atrujillo,Voltaje F1/F2,atrujillo,INC000087315987,Manabi - O&M Total
saushay,ALARA DE ENERGIA,saushay,INC000087315605,Energía y Climatización - Región Pacífico
lveintimilla,CAIDO,mgranda,INC000087314456,Redes Inalámbricas - MW Andina
egcadena,CAIDO,amleons,INC000087314349,Energía y Climatización - Región Pacífico
atrujillo,CAIDO,atrujillo,INC000087312935,Redes Inalámbricas - Troncalizado Andina
afaguirre,caido,afaguirre,INC000087311414,Redes Inalámbricas - Móvil Andina
egcadena,FALLA DE AC,inoguera,INC000087310653,Energía y Climatización - Región Andina
saushay,ALARMA DE ENERGIA,saushay,INC000087309886,Energía y Climatización - Región Pacífico
egcadena,ALARMA SEÑALIZACIÓN SS7,egcadena,INC000087309878,Core - NGN Andina
afaguirre,CAIDO,afaguirre,INC000087309868,Redes Inalámbricas - Móvil Andina
palvear,SIN RADIAR SECTOR 3,palvear,INC000087306824,Redes Inalámbricas - Móvil Pacífico
egcadena,ALARMA SS7,svnaranjo,INC000087305756,Core - NGN Pacífico
saushay,CAIDO,amleons,INC000087305280,Manabi - O&M Total
egcadena,CAIDO,amleons,INC000087304462,LOJA - O&M Total
afaguirre,falla de ac,afaguirre,INC000087301398,Redes Inalámbricas - Móvil Andina
egcadena,PUERTOS ALARMADOS,amleons,INC000087301380,El Oro - O&M Total
alcarvajal,puertos alarmados,amleons,INC000087300614,El Oro - O&M Total
yibarra,TRABAJO EMERGENTE,afaguirre,INC000087300559,Redes Inalámbricas - Optimización Andina
yibarra,FALLA AC,afaguirre,INC000087300535,Redes Inalámbricas - Móvil Andina
alcarvajal,alarmas de energia,alcarvajal,INC000087300526,Energía y Climatización - Región Andina
yibarra,FALLA AC,afaguirre,INC000087300517,Sucumbios - O&M Total
alcarvajal,alarmas de energia,egcadena,INC000087300512,Manabi - O&M Total
wllumitaxi,CAIDO,palvear,INC000087300510,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,palvear,INC000087299186,Manabi - O&M Total
yibarra,CAIDO,gayungan,INC000087298978,Redes Inalámbricas - Móvil Andina
wllumitaxi,CAIDO,palvear,INC000087298977,Redes Inalámbricas - Móvil Pacífico
lasifuela,ALARMA DE ENERGIA,saushay,INC000087298640,Unidad de Soporte de Servicios Masivos
fomorocho,CAIDO,lveintimilla,INC000087298212,Manabi - O&M Total
alcarvajal,alarmas de energia,egcadena,INC000087297640,Manabi - O&M Total
alcarvajal,alarmas de energia,egcadena,INC000087297441,Unidad de Soporte de Servicios Masivos
lasifuela,CAIDO,pcriollo,INC000087295874,Energía y Climatización - Región Pacífico
aortiz,ENERGÍA,atrujillo,INC000087295869,Redes Inalámbricas - Región Austro
yibarra,caido,yibarra,INC000087295854,Redes Inalámbricas - Móvil Andina
wllumitaxi,FALLA AC,wllumitaxi,INC000087295821,Redes Inalámbricas - Móvil Pacífico
alcarvajal,alarmas de energía,alcarvajal,INC000087295809,Energía y Climatización - Región Pacífico
alcarvajal,caído,egcadena,INC000087295782,Energía y Climatización - Región Andina
fomorocho,CAIDO,lveintimilla,INC000087295781,El Oro - O&M Total
lasifuela,VOLTAJE F1/F2,saushay,INC000087294252,Unidad de Soporte de Servicios Masivos
wllumitaxi,CAIDO,palvear,INC000087294220,Redes Inalámbricas - Móvil Pacífico
lasifuela,MODULOS RTF,lasifuela,INC000087292718,Esmeraldas - O&M Total
alcarvajal,alarmas de energía,alcarvajal,INC000087291950,El Oro - O&M Total
yibarra,falla ac,gayungan,INC000087291946,Redes Inalámbricas - Móvil Andina
lasifuela,VOLTAJE F1/F2,lasifuela,INC000087291935,Cotopaxi - O&M Total
yibarra,caido,afaguirre,INC000087291933,Redes Inalámbricas - Móvil Andina
yibarra,FALLA AC,yibarra,INC000087291157,Redes Inalámbricas - Móvil Pacífico
alcarvajal,caido,pcriollo,INC000087290354,Redes Fibra Óptica - Red Troncal Pacífico
yibarra,CAIDO,afaguirre,INC000087290352,Redes Inalámbricas - Región Chimborazo
yibarra,caido,yibarra,INC000087288053,Redes Inalámbricas - Móvil Andina
lasifuela,VOLTAJE F1/F2,lasifuela,INC000087287279,Tungurahua - O&M Total
yibarra,caido,yibarra,INC000087286506,Redes Inalámbricas - Móvil Andina
yibarra,FALLA AC,yibarra,INC000087286484,Redes Inalámbricas - Móvil Andina
alcarvajal,alarmas de energía,alcarvajal,INC000087286476,Energía y Climatización - Región Andina
aortiz,INTERMITENTE,gguayanlema,INC000087286463,Redes Inalámbricas - Móvil Andina
lasifuela,VOLTAJE F1/F2,lasifuela,INC000087286462,El Oro - O&M Total
yibarra,CAIDO,yibarra,INC000087286435,Redes Inalámbricas - Móvil Andina
yibarra,CAIDO,gayungan,INC000087284643,Redes Inalámbricas - Móvil Andina
wllumitaxi,CAIDO,wllumitaxi,INC000087284131,Redes Inalámbricas - Móvil Pacífico
yibarra,CAIDO,jdgranda,INC000087282600,Redes Inalámbricas - Móvil Andina
yibarra,CAIDO,yibarra,INC000087281890,Redes Inalámbricas - MW Andina
fomorocho,CAÍDA DE TRAFICO,gguayanlema,INC000087281791,Redes Inalámbricas - MW Andina
lasifuela,CAIDO,pcriollo,INC000087281790,Energía y Climatización - Región Andina
yibarra,CAIDO,yibarra,INC000087281786,Redes Inalámbricas - Móvil Pacífico
yibarra,FALLA AC,yibarra,INC000087281767,Orellana - O&M Total
mdpacheco,INTERMITENTE,gguayanlema,INC000087281741,Galápagos - O&M Total
mdpacheco,CAIDO,mgranda,INC000087281718,Redes Inalámbricas - Troncalizado Andina
fomorocho,CAIDO,pcriollo,INC000087281704,Energía y Climatización - Región Pacífico
wllumitaxi,CAIDO,wllumitaxi,INC000087280936,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,wllumitaxi,INC000087277849,Manabi - O&M Total
alcarvajal,alarmas de energia,yibarra,INC000087277045,Unidad de Soporte de Servicios Masivos
lasifuela,CAIDO,pcriollo,INC000087277033,Orellana - O&M Total
alcarvajal,FALLA AC,mdpacheco,INC000087277016,Esmeraldas - O&M Total
alcarvajal,caído,pcriollo,INC000087277012,Napo - O&M Total
yibarra,CAIDO,yibarra,INC000087277008,Orellana - O&M Total
lasifuela,CAIDO,yibarra,INC000087276974,Manabi - O&M Total
mdpacheco,CAIDO,yibarra,INC000087273083,Redes Inalámbricas - Troncalizado Andina
mdpacheco,FALLA AC,mdpacheco,INC000087273072,Manabi - O&M Total
yibarra,CAIDO,yibarra,INC000087273067,Esmeraldas - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000087272295,Redes Inalámbricas - Móvil Pacífico
fomorocho,CAIDO,wsimbana,INC000087272263,Huawei
alcarvajal,puertos alarmados,lasifuela,INC000087272239,Accesos - Zona Integral 8
alucin,FALLA DE AC,alcarvajal,INC000087270242,Sto Domingo - O&M Total
jdgranda,CAIDO,aortiz,INC000087269116,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,alcarvajal,INC000087268463,Napo - O&M Total
cjimenez,CAIDO,yibarra,INC000087268354,Napo - O&M Total
alucin,FALLA DE AC,lasifuela,INC000087268350,Napo - O&M Total
jdgranda,ALARMA AC,jdgranda,INC000087267582,Santa Elena - O&M Total
alucin,FALLA DE AC,alucin,INC000087263727,Energía y Climatización - Región Pacífico
jdgranda,ALARMA AC,jdgranda,INC000087262967,Redes Inalámbricas - Móvil Pacífico
alucin,caído,calopez,INC000087262964,Esmeraldas - O&M Total
cjimenez,CAIDO,palvear,INC000087262962,Redes Inalámbricas - Móvil Pacífico
alucin,CAÍDOI,alucin,INC000087262960,Manabi - O&M Total
alucin,FALLA DE AC,lasifuela,INC000087262200,Bolivar - O&M Total
alucin,FALLA DE AC,alucin,INC000087260681,Manabi - O&M Total
jdgranda,ALARMA AC,wllumitaxi,INC000087260373,Bolivar - O&M Total
alucin,FALLA DE AC,yibarra,INC000087259920,Esmeraldas - O&M Total
cjimenez,FALLA DE AC,yibarra,INC000087258402,Esmeraldas - O&M Total
alucin,PUERTOS ALARMADOS,lasifuela,INC000087254609,Accesos - Zona Integral 8
alucin,caido,alcarvajal,INC000087253848,Morona Santiago - O&M
cjimenez,FALLA DE RED PUBLICA,cjimenez,INC000087253846,Redes Inalámbricas - Móvil Andina
alucin,RUTA 1 ALARMADA,mdpacheco,INC000087250812,Redes Inalámbricas - Troncalizado Pacífico
jdgranda,CAIDO,aortiz,INC000087249703,Redes Inalámbricas - Móvil Pacífico
jdgranda,ALARMA AC,aortiz,INC000087248529,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,lasifuela,INC000087248526,Energía y Climatización - Región Pacífico
famaldonado,CAIDO,calopez,INC000087243976,Energía y Climatización - Región Pacífico
alucin,CAÍDO,egcadena,INC000087243974,El Oro - O&M Total
cjimenez,INTERMITENTE,yibarra,INC000087243972,Redes Inalámbricas - Móvil Andina
jdgranda,ALRMA AC,mgranda,INC000087241241,Manabi - O&M Total
famaldonado,CAIDO,lveintimilla,INC000087240936,Panam
yacunia,CAIDO,jdgranda,INC000087236292,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,yibarra,INC000087235533,Manabi - O&M Total
basanguano,CAIDO,cjimenez,INC000087230981,Redes Inalámbricas - Móvil Andina
basanguano,CAIDO,cjimenez,INC000087230979,Orellana - O&M Total
basanguano,CAIDO,basanguano,INC000087223389,Redes Inalámbricas - Móvil Andina
gguayanlema,CAIDO,yibarra,INC000087223387,Esmeraldas - O&M Total
yacunia,CAIDO,yacunia,INC000087218835,Redes Inalámbricas - Móvil Pacífico
egcadena,CAIDO,yibarra,INC000087214284,Azuay - O&M
yacunia,AC Power Failure Alarm,yacunia,INC000087212765,Orellana - O&M Total
gguayanlema,caido,yibarra,INC000087212762,Redes Fibra Óptica - Red Troncal Pacífico
basanguano,FALLA AC,yibarra,INC000087212760,Orellana - O&M Total
mcnaranjo,FALLA MODULO RECTIFICADOR,mcnaranjo,INC000087212756,Orellana - O&M Total
egcadena,FALLA DE AC,egcadena,INC000087212755,Azuay - O&M
basanguano,CAIDO,basanguano,INC000087202299,Redes Inalámbricas - Región Chimborazo
svnaranjo,ENLACE ALARMADO,yibarra,INC000087202128,Redes Fibra Óptica - Red Troncal Andina
wllumitaxi,FALLA AC,yacunia,INC000087202125,Manabi - O&M Total
atrujillo,Voltaje DC,egcadena,INC000087202122,Unidad de Soporte de Servicios Masivos
wllumitaxi,CAIDO,wllumitaxi,INC000087202121,Redes Inalámbricas - Móvil Pacífico
svnaranjo,CAIDO,gguayanlema,INC000087202119,Manabi - O&M Total
atrujillo,CAIDO,egcadena,INC000087202117,Sto Domingo - O&M Total
rtaco,FALLAAC,mcnaranjo,INC000087201514,Sto Domingo - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000087200594,Manabi - O&M Total
palvear,CAÍDO,basanguano,INC000087199834,Redes Inalámbricas - Móvil Andina
wllumitaxi,FALLA AC,wllumitaxi,INC000087199833,Los Rios - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000087199000,Sto Domingo - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000087197551,Sto Domingo - O&M Total
atrujillo,Voltaje F1/F2,egcadena,INC000087197550,Sto Domingo - O&M Total
